country,count
Australia,2
Austria,1
Belgium,6
Brazil,7
Canada,9
China,4
Czech Republic,6
Denmark,3
Ecuador,1
Finland,1
France,29
Georgia,1
Germany,29
Greece,3
Hungary,3
India,5
Italy,31
Mexico,1
Netherlands,7
Norway,3
Poland,4
Portugal,6
Republic of Korea,4
Russian Federation,12
Slovakia,5
Slovenia,1
South Africa,2
Spain,8
Sweden,4
Switzerland,15
United Kingdom,31
Turkey,1
United States of America,72
Israel,2
Chile,1
Argentina,1
Ukraine,1
New Zealand,2
