'1','12-04-2018 10:20:48','en',,'12-04-2018 10:20:48','12-04-2018 10:14:01','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&newtest=Y&lang=en','F','36','YR1','OTR',,'Library and Information Science','5','5','5','2','2','1','1','1','1','0','0','0','0','0','0','0','5','5','3','4',,,,,,'0','0','0','0','0','0','0','0',,'0','0','0','1','0','0','0',,'1',,'1','1','0','0',,'5','4','2','4','3','2','4','1','3','5','5','4','4',,,,,'2','4','4','4','5','5','5','5','5',,,,,'1','2','3','2','2','4','5','4','2','4','5','5','2','5','5','3','3'
'4',,'en',,'12-04-2018 16:31:42','12-04-2018 16:31:42',,,,,,,,,,,,,'0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,'0','0','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,,,'0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'3',,'en',,'12-04-2018 16:22:25','12-04-2018 16:13:29',,,,,,,,,,,,,'0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,'0','0','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,,,'0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'6',,'en',,'13-04-2018 18:40:10','13-04-2018 18:40:10','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&amp',,,,,,,,,,,,'0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,'0','0','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,,,'0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'7',,'en',,'13-04-2018 18:40:14','13-04-2018 18:40:14','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&amp',,,,,,,,,,,,'0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,'0','0','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,,,'0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'8','14-04-2018 22:49:14','en',,'14-04-2018 22:49:14','14-04-2018 22:36:40','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en','F','188','YR3','EXP','SZ3',,'5','5','5','5','5','0','0','0','1','0','0','0','0','0','0','0','5','5','5','5',,,,,,'0','0','0','0','0','0','0','0',,'0','1','0','0','0','0','0',,'3',,'1','1','0','0',,'4','5','5','5','5','5','5','5','3','4','5','4','4','4','5','4','4',,,,,'5','4','5','5','4',,,,,'4','7','1','1','2','1','4','4','2','2','6','2','2','3','4','5','4'
'9',,'en',,'16-04-2018 15:20:09','16-04-2018 15:20:09','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&amp',,,,,,,,,,,,'0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,'0','0','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,,,'0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10',,'en',,'16-04-2018 15:20:12','16-04-2018 15:20:12','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&amp',,,,,,,,,,,,'0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,'0','0','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,,,'0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'11',,'en',,'16-04-2018 17:00:08','16-04-2018 16:58:03','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en','M','188','YR1','TH',,,'5','5','5','5','5','0','0','0','0','0','1','0','0','0','0','0',,,,,'5','5','5','5','5','1','0','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,'1',,'0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12',,'en',,'16-04-2018 20:28:46','16-04-2018 20:27:44','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en','M','121','YR1','EXP','SZ5',,,,,,,'0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,'0','0','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,,,'0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'13','17-04-2018 04:22:37','en',,'17-04-2018 04:22:37','17-04-2018 04:16:49','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en','M','61','YR2','TH',,,'5','5','4','3','3','0','0','0','0','0','1','1','1','1','0','0',,,,,'4','4','4','5','4','0','1','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,'1',,'1','1','0','0',,'4','4','2','4','5','4','5','2','3','2','5','3','3',,,,,'2','5','2','3',,,,,,'3','3','3',,'2','7','7','7','3','3','4','6','6','6','6','5','6','4','4','4','4'
'14',,'en',,'17-04-2018 09:16:19','17-04-2018 09:15:34','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en','M','78','YR1','EXP','SZ1',,,,,,,'0','0','0','0','0','0','0','0','0','0','0',,,,,,,,,,'0','0','0','0','0','0','0','0',,'0','0','0','0','0','0','0',,,,'0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'15','18-04-2018 00:17:42','en',,'18-04-2018 00:17:42','18-04-2018 00:06:33','https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en','M','186','YR4','TH',,,'5','5','4','5','5','0','0','0','0','0','1','1','1','1','1','0',,,,,'4','4','4','5','2','1','1','1','1','1','1','0','0',,'0','0','0','0','0','0','0',,'1',,'1','1','0','0',,'5','4','4','4','4','5','4','4','4','2','4','2','2',,,,,'4','4','4','4',,,,,,'4','4','4',,'2','7','2','3','2','3','5','6','4','4','6','4','5','4','4','5','4'
'212','23-04-2018 13:17:48','en',,'23-04-2018 13:17:48','23-04-2018 13:08:14',,'M','46','YR1','EXP','SZ1',,'3','5','4','4','3','1','1','0','0','0','0','0','0','0','0','0','5','5','5','4',,,,,,'0','0','0','0','0','0','0','0',,'0','0','1','1','1','0','0',,'2',,'1','1','0','0',,'2','4','1','1','1','4','4','3','1','4','5','1','1','3','4','5','4',,,,,'5','5','5','4','5',,,,,'3','7','3','3','3','7','5','6','4','4','6','5','6','5','5','5','4'
