recid,career span,,,,,,
1341954,0,,,,,,
1403365,0,,,,,,
1403394,0,,,,,,
1643740,0,,,,,,
1474065,0,,,,,,
1474076,0,,,,,,
1474094,0,,,,,,
1605210,0,,,,,,
1605212,0,,,,,,
1605214,0,,,,,,
1474211,0,,,,,,
1621987,0,,,,,,
1605503,0,,,,,,
1605507,0,,,,,,
1605510,0,,,,,,
1605525,0,,,,,,
1474565,0,,,,,,
1474567,0,,,,,,
1605692,0,,,,,,
1605696,0,,,,,,
1605698,0,,,,,,
1474720,0,,,,,,
1474723,0,,,,,,
1622095,0,,,,,,
1606292,0,,,,,,
1606293,0,,,,,,
1606331,0,,,,,,
1606373,0,,,,,,
1475319,0,,,,,,
1475398,0,,,,,,
1475410,0,,,,,,
1622158,0,,,,,,
1475738,0,,,,,,
1607110,0,,,,,,
1607149,0,,,,,,
1607152,0,,,,,,
1607157,0,,,,,,
1607158,0,,,,,,
1607160,0,,,,,,
1607165,0,,,,,,
1607166,0,,,,,,
1607168,0,,,,,,
1607173,0,,,,,,
1469361,0,,,,,,
1345112,0,,,,,,
1338303,0,,,,,,
1607478,0,,,,,,
1607483,0,,,,,,
1607485,0,,,,,,
1607487,0,,,,,,
1607490,0,,,,,,
1607492,0,,,,,,
1607497,0,,,,,,
1607507,0,,,,,,
1345388,0,,,,,,
1607740,0,,,,,,
1607741,0,,,,,,
1607746,0,,,,,,
1607747,0,,,,,,
1335369,0,,,,,,
1607933,0,,,,,,
1607941,0,,,,,,
1476947,0,,,,,,
1476952,0,,,,,,
1608129,0,,,,,,
1477165,0,,,,,,
1477166,0,,,,,,
1477332,0,,,,,,
1477341,0,,,,,,
1477448,0,,,,,,
1477449,0,,,,,,
1477450,0,,,,,,
1346584,0,,,,,,
1346586,0,,,,,,
1477740,0,,,,,,
1608844,0,,,,,,
1477904,0,,,,,,
1477909,0,,,,,,
1477919,0,,,,,,
1477954,0,,,,,,
1477966,0,,,,,,
1478000,0,,,,,,
1347095,0,,,,,,
1609406,0,,,,,,
1478438,0,,,,,,
1478441,0,,,,,,
1609598,0,,,,,,
1609723,0,,,,,,
1085485,0,,,,,,
1609913,0,,,,,,
1609914,0,,,,,,
1609915,0,,,,,,
1609916,0,,,,,,
1609921,0,,,,,,
1609924,0,,,,,,
1609927,0,,,,,,
1609931,0,,,,,,
1217058,0,,,,,,
1479284,0,,,,,,
1610768,0,,,,,,
1610771,0,,,,,,
1610983,0,,,,,,
1610984,0,,,,,,
1610985,0,,,,,,
1610990,0,,,,,,
1610991,0,,,,,,
1610993,0,,,,,,
1610995,0,,,,,,
1610997,0,,,,,,
1480012,0,,,,,,
1480124,0,,,,,,
1480153,0,,,,,,
1218062,0,,,,,,
1480454,0,,,,,,
1611763,0,,,,,,
1601205,0,,,,,,
1480798,0,,,,,,
1480928,0,,,,,,
1480932,0,,,,,,
1480959,0,,,,,,
1481012,0,,,,,,
1481096,0,,,,,,
1481127,0,,,,,,
1481130,0,,,,,,
1481436,0,,,,,,
1481439,0,,,,,,
1481445,0,,,,,,
1645050,0,,,,,,
1481929,0,,,,,,
1613449,0,,,,,,
1613451,0,,,,,,
1613452,0,,,,,,
1482451,0,,,,,,
1482452,0,,,,,,
1482453,0,,,,,,
1482676,0,,,,,,
1482706,0,,,,,,
