"","D3","D4","p4q2","clust"
"245",1,1,3,"4"
"246",1,1,0,"2"
"247",1,1,1,"2"
"248",0,1,0,"3"
"249",0,1,1,"3"
"250",1,1,1,"2"
"251",1,1,1,"2"
"252",1,1,1,"2"
"253",0,1,4,"4"
"254",1,1,0,"2"
"255",0,1,0,"3"
"256",1,1,0,"2"
"257",1,1,0,"2"
"258",1,1,0,"2"
"259",1,1,1,"2"
"260",1,1,0,"2"
"261",0,1,0,"3"
"262",1,1,0,"2"
"263",0,1,1,"3"
"264",0,1,1,"3"
"265",1,1,1,"2"
"266",0,1,0,"3"
"267",0,1,0,"3"
"268",1,1,3,"4"
"269",0,1,0,"3"
"270",1,1,0,"2"
"271",1,1,1,"2"
"272",1,1,1,"2"
"273",0,1,0,"3"
"274",0,1,0,"3"
"275",1,1,0,"2"
"276",0,1,0,"3"
"277",1,1,0,"2"
"278",0,1,0,"3"
"279",0,1,0,"3"
"280",1,1,0,"2"
"281",0,1,0,"3"
"282",1,1,0,"2"
"283",0,1,0,"3"
"284",0,1,1,"3"
"285",0,1,3,"4"
"286",1,1,0,"2"
"287",1,1,0,"2"
"288",1,1,1,"2"
"289",0,1,1,"3"
"290",0,1,1,"3"
"291",1,1,0,"2"
"292",0,1,0,"3"
"293",1,1,1,"2"
"294",0,1,0,"3"
"295",0,1,0,"3"
"296",1,1,0,"2"
"297",0,1,0,"3"
"298",0,1,1,"3"
"299",0,1,0,"3"
"300",1,1,0,"2"
"301",0,1,0,"3"
"302",0,1,0,"3"
"303",0,1,1,"3"
"304",0,1,0,"3"
"305",0,1,0,"3"
"306",0,1,1,"3"
"307",0,1,4,"4"
"308",0,1,1,"3"
"309",0,1,1,"3"
"310",1,1,0,"2"
"311",1,1,1,"2"
"312",0,1,0,"3"
"313",0,1,0,"3"
"314",0,1,0,"3"
"315",1,1,0,"2"
"316",0,1,0,"3"
"317",0,1,0,"3"
"318",1,1,0,"2"
"319",1,1,3,"4"
"320",1,1,0,"2"
"321",0,1,4,"4"
"322",1,1,1,"2"
"323",0,1,1,"3"
"324",0,1,1,"3"
"325",1,1,0,"2"
"326",1,1,0,"2"
"327",0,1,4,"4"
"328",0,1,0,"3"
"329",0,1,0,"3"
"330",1,1,0,"2"
"331",0,1,1,"3"
"332",1,1,0,"2"
"333",0,1,0,"3"
"334",0,1,1,"3"
"335",1,1,1,"2"
"336",1,1,3,"4"
"337",1,1,4,"4"
"338",0,1,1,"3"
"339",1,1,0,"2"
"340",0,1,1,"3"
"341",0,1,0,"3"
"342",1,1,0,"2"
"343",1,1,1,"2"
"344",0,1,0,"3"
"345",1,1,0,"2"
"346",0,1,0,"3"
"347",0,1,0,"3"
"348",1,1,3,"4"
"349",0,1,0,"3"
"350",0,1,4,"4"
"351",0,1,4,"4"
"352",0,1,0,"3"
"353",1,1,4,"4"
"354",0,1,0,"3"
"355",0,1,0,"3"
"356",1,1,3,"4"
"357",1,1,0,"2"
"358",1,1,0,"2"
"359",0,1,0,"3"
"360",0,1,0,"3"
"361",1,1,0,"2"
"362",1,1,0,"2"
"363",0,1,1,"3"
"364",1,1,0,"2"
"365",0,1,3,"4"
"366",0,1,3,"4"
"367",1,1,0,"2"
"368",1,1,3,"4"
"369",0,1,0,"3"
"370",0,1,1,"3"
"371",0,1,1,"3"
"372",1,1,0,"2"
"373",1,1,0,"2"
"374",1,1,1,"2"
"375",0,1,1,"3"
"376",0,1,3,"4"
"377",1,1,4,"4"
"378",1,1,0,"2"
"379",1,1,0,"2"
"380",0,1,0,"3"
"381",1,1,0,"2"
"382",1,1,3,"4"
"383",0,1,1,"3"
"384",0,1,1,"3"
"385",1,1,0,"2"
"386",1,1,0,"2"
"387",1,1,1,"2"
"388",1,1,1,"2"
"389",1,1,3,"4"
"390",1,1,1,"2"
"391",0,1,0,"3"
"392",1,1,0,"2"
"393",0,1,1,"3"
"394",1,1,1,"2"
"395",1,1,0,"2"
"396",1,1,1,"2"
"397",0,1,1,"3"
"398",1,1,1,"2"
"399",0,1,0,"3"
"400",0,1,0,"3"
"401",1,1,1,"2"
"402",1,1,1,"2"
"403",1,1,1,"2"
"404",1,1,0,"2"
"405",1,1,0,"2"
"406",1,1,0,"2"
"407",1,1,0,"2"
"408",1,1,0,"2"
"409",1,1,1,"2"
"410",0,1,4,"4"
"411",0,1,0,"3"
"412",1,1,3,"4"
"413",1,1,0,"2"
"414",0,1,0,"3"
"415",0,1,0,"3"
"416",0,1,0,"3"
"417",0,1,1,"3"
"418",1,1,0,"2"
"419",0,1,1,"3"
"420",1,1,1,"2"
"421",1,1,1,"2"
"422",0,1,1,"3"
"423",1,1,0,"2"
"424",0,1,4,"4"
"425",0,1,3,"4"
"426",1,1,1,"2"
"427",0,1,3,"4"
"428",0,1,3,"4"
"429",1,1,1,"2"
"430",0,1,1,"3"
"431",0,1,0,"3"
"432",1,1,3,"4"
"433",0,1,1,"3"
"434",0,1,1,"3"
"435",0,1,1,"3"
"436",0,1,1,"3"
"437",0,1,0,"3"
"438",1,1,1,"2"
"439",0,1,3,"4"
"440",0,1,1,"3"
"441",1,1,3,"4"
"442",1,1,1,"2"
"443",1,1,0,"2"
"444",0,1,3,"4"
"445",1,1,0,"2"
"446",1,1,0,"2"
"447",1,1,1,"2"
"448",1,1,0,"2"
"449",0,1,0,"3"
"450",1,1,3,"4"
"451",1,1,0,"2"
"452",1,1,0,"2"
"453",0,1,0,"3"
"454",1,1,3,"4"
"455",0,1,4,"4"
"456",1,1,0,"2"
"457",1,1,0,"2"
"458",1,1,1,"2"
"459",1,1,0,"2"
"460",1,1,0,"2"
"461",1,1,0,"2"
"462",1,1,0,"2"
"463",0,1,4,"4"
"464",1,1,0,"2"
"465",0,1,0,"3"
"466",1,1,0,"2"
"467",0,1,0,"3"
"468",1,1,1,"2"
"469",0,1,1,"3"
"470",1,1,3,"4"
"471",0,1,3,"4"
"472",1,1,0,"2"
"473",0,1,1,"3"
"474",0,1,3,"4"
"475",0,1,0,"3"
"476",0,1,0,"3"
"477",1,1,1,"2"
"478",0,1,3,"4"
"479",0,1,1,"3"
"480",1,1,1,"2"
"481",0,1,1,"3"
"482",1,1,0,"2"
"483",0,1,1,"3"
"484",1,1,0,"2"
"485",0,1,3,"4"
"486",0,1,1,"3"
"487",0,1,3,"4"
"488",0,1,4,"4"
"489",0,1,1,"3"
"490",0,1,0,"3"
"491",0,1,1,"3"
"492",0,1,1,"3"
"493",1,1,0,"2"
"494",1,1,0,"2"
"495",0,1,0,"3"
"496",0,1,3,"4"
"497",0,1,3,"4"
"498",0,1,1,"3"
"499",0,1,4,"4"
"500",0,1,0,"3"
"501",0,1,1,"3"
"502",0,1,0,"3"
"503",1,1,0,"2"
"504",0,1,3,"4"
"505",0,1,1,"3"
"506",1,1,0,"2"
"507",1,1,0,"2"
"508",1,1,0,"2"
"509",0,1,1,"3"
"510",0,1,3,"4"
"511",1,1,4,"4"
"512",0,1,0,"3"
"513",0,1,3,"4"
"514",0,1,0,"3"
"515",0,2,4,"4"
"516",1,2,1,"2"
"517",0,2,3,"4"
"518",0,2,3,"4"
"519",0,0,1,"1"
"520",0,0,0,"1"
"521",0,0,1,"1"
"522",1,2,3,"4"
"523",0,2,3,"4"
"524",0,2,0,"3"
"525",0,2,1,"3"
"526",0,2,3,"4"
"527",0,2,0,"3"
"528",1,2,3,"4"
"529",0,2,1,"3"
"530",0,0,3,"1"
"531",1,2,3,"4"
"532",0,2,4,"4"
"533",1,2,0,"2"
"534",0,2,0,"3"
"535",1,2,0,"2"
"536",1,2,1,"2"
"537",1,2,3,"4"
"538",0,2,0,"3"
"539",0,0,4,"1"
"540",1,0,4,"1"
"541",0,0,4,"1"
"542",1,0,4,"1"
"543",0,0,3,"1"
"544",1,0,0,"1"
"545",0,0,0,"1"
"546",1,0,1,"1"
"547",0,0,1,"1"
"548",0,0,0,"1"
"549",1,0,1,"1"
"550",1,0,3,"1"
"551",0,0,1,"1"
"552",1,0,1,"1"
"553",1,0,0,"1"
"554",0,0,0,"1"
"555",1,0,1,"1"
"556",0,0,4,"1"
"557",1,0,0,"1"
"558",0,0,0,"1"
"559",1,0,3,"1"
"560",1,0,3,"1"
"561",1,0,4,"1"
"562",1,0,1,"1"
"563",0,0,0,"1"
"564",1,0,4,"1"
"565",1,0,3,"1"
"566",0,0,0,"1"
"567",1,0,0,"1"
"568",1,0,0,"1"
"569",0,0,3,"1"
"570",0,0,4,"1"
"571",1,0,0,"1"
"572",1,0,0,"1"
"573",1,0,1,"1"
"574",1,0,1,"1"
"575",1,0,1,"1"
"576",1,0,0,"1"
"577",0,0,3,"1"
"578",0,0,4,"1"
"579",1,0,3,"1"
"580",0,0,4,"1"
"581",1,0,0,"1"
"582",0,0,0,"1"
"583",1,0,3,"1"
"584",1,0,0,"1"
"585",1,0,0,"1"
"586",0,0,0,"1"
"587",1,0,0,"1"
"588",0,0,0,"1"
"589",1,0,4,"1"
"590",1,0,0,"1"
"591",1,0,1,"1"
"592",1,0,0,"1"
"593",1,0,0,"1"
"594",1,0,1,"1"
"595",1,0,4,"1"
"596",1,0,0,"1"
"597",1,0,4,"1"
"598",1,0,1,"1"
"599",1,0,0,"1"
"600",1,0,1,"1"
"601",1,0,0,"1"
"602",1,0,1,"1"
"603",1,0,0,"1"
"604",0,0,4,"1"
"605",1,0,0,"1"
"606",1,0,0,"1"
"607",1,0,0,"1"
